what,kind,bundleId,bundleVersion,description,time
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740565296
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740565296
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740566018
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740566019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740574225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740586999
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740588096
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740588188
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740588280
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740591675
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740591752
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740591835
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740593607
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740593639
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740593639
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740594467
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740594467
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740597916
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740598000
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740598104
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740601568
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740605529
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740605530
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740609671
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740609760
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740609849
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740612736
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740612824
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740612910
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740618231
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740618270
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740618270
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740619201
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740619201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740627360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328740628109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740640890
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740643241
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740643336
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740644034
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740647490
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740647594
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740647594
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740655452
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740655508
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740655926
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740657967
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740658070
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740658070
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740662669
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740662747
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740662846
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740664366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740676940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740713208
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740715598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740721219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328740722046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740739793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740744145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740745530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740746013
started,bundle,com.powerflasher.fdt.core.swc,5.0.0.1412,"com.powerflasher.fdt.core.swc",1328740747661
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328740747840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740747937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740753264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328740754054
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1328740764523
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1328740764702
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1328740764749
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1328740768724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328740769281
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740772487
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740772569
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740772966
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740777178
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740777413
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1328740777555
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740779762
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HXMLEditor",1328740779823
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740779823
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1328740781337
