what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329295072059
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329295072059
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1329295072059
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1329295072059
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1329295072059
os,sysinfo,,,"linux",1329295072079
arch,sysinfo,,,"x86",1329295072079
ws,sysinfo,,,"gtk",1329295072079
locale,sysinfo,,,"en_US",1329295072079
processors,sysinfo,,,"2",1329295072079
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329295072079
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1329295072079
java.specification.name,sysinfo,,,"Java Platform API Specification",1329295072079
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329295072079
java.specification.version,sysinfo,,,"1.6",1329295072079
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329295072079
java.version,sysinfo,,,"1.6.0_26",1329295072080
java.vm.info,sysinfo,,,"mixed mode, sharing",1329295072080
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329295072080
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329295072080
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329295072080
java.vm.specification.version,sysinfo,,,"1.0",1329295072080
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329295072080
java.vm.version,sysinfo,,,"20.1-b02",1329295072080
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329295073159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295080356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295080381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295080999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295081336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295098887
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295100892
closed,editor,com.powerflasher.fdt.ui.welcome,,"com.powerflasher.fdt.ui.welcome.welcomeScreenBrowser",1329295100896
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295111562
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295118499
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295118609
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295118793
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1329295119071
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295120733
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295122374
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295122374
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295125908
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1329295126044
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295127247
error,log,,,"Unhandled event loop exception",1329295141787
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295146679
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295150609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295154602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295163506
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295167002
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295167092
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295167205
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295167309
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295169124
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295169191
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295169192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295170615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295200777
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295203329
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295203416
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295203488
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295203575
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295205842
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295207548
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295207548
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295208435
closed,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295208435
opened,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295210171
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295210246
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295210331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295216263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295218940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295222739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295599711
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295600903
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295605100
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1329295605413
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1329295610440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295613284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295618085
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295619473
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295621987
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295627942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295629454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295859515
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295863412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295872813
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295880348
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295880412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1329295880653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295880699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295888459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295899573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329295899660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295900784
activated,editor,com.powerflasher.fdt.haxe.ui,1.0.0.1,"com.powerflasher.fdt.haxe.ui.HaxeEditor",1329295901927
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329295901927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295901975
activated,view,com.powerflasher.fdt.ui,5.0.0.1412,"com.powerflasher.fdt.ui.views.FlashExplorer",1329295905725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329295909821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329296725716
